GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MarioPizzaWeb,default,Order,70,0,0,0,19,0,10,0,10,0
MarioPizzaWeb,default,SeleniumTemp,20,0,0,0,6,0,2,0,2,0
